MD83 HXQT D6JD PBAP KLMV WCWR,OnEnterprise Headquarter,6794776.47
DK37 1532 7032 7184 03,OnEnterprise Main Branch,2883428.82
FR28 2295 2110 07PN 6BHQ 2EJP V67,OnEnterprise Branch 1,2384701.48
DE38 7101 6559 8096 1701 25,OnEnterprise Branch 2,3117234.25
FR72 0065 8893 75IQ U0ZX BI4U W51,OnEnterprise Branch 3,9100814.54
BG36 VYAS 8460 28YH H9FG ZK,OnEnterprise Branch 4,9154210.72
TR88 2370 31AJ DX4N 7RVS N73E 7M,OnEnterprise Headquarter,8987507.11
GE66 KY22 1019 1644 1183 36,OnEnterprise Main Branch,9697112.99
FR87 2567 2332 44IB FJTC OS2X 569,OnEnterprise Branch 1,584707.11
MT52 LPKS 5585 8H5E PEG7 BQHN VIHO J9N,OnEnterprise Branch 2,6462831.43
PL69 3027 8053 2035 3540 8468 4934,OnEnterprise Branch 3,2973009.84
MT59 YKCG 2982 0ULR TB8W JGPL NONV MNQ,OnEnterprise Branch 4,8763730.38
DK84 3921 6709 6534 49,OnEnterprise Headquarter,8908272.03
FR94 5453 3546 07CZ 5LVS OYK6 L07,OnEnterprise Main Branch,9442480.1
MU35 RPUA 2584 3765 7637 5822 419N EX,OnEnterprise Branch 1,650331.22
MU44 BFHE 9337 9738 6021 5752 472Z KQ,OnEnterprise Branch 2,8824007.08
SI62 2008 3918 5946 548,OnEnterprise Branch 3,222019.77
NL89 NBSE 5572 5996 91,OnEnterprise Branch 4,5731272.08
AE17 0403 9848 2096 1104 027,OnEnterprise Headquarter,7872250.83
AE12 8737 8989 3099 2567 375,OnEnterprise Main Branch,6788593.48
PS96 SJNS FPAK TXAZ IMDW N6QA IA0U K,OnEnterprise Branch 1,5716174.32
MR41 5194 7750 5045 0247 8415 000,OnEnterprise Branch 2,3587919.13
BG46 APHH 3520 42AO ITSV Y2,OnEnterprise Branch 3,3728483.25
FR88 7977 2991 04F2 PPKT ZGKL T02,OnEnterprise Branch 4,9615065.3
LT21 1471 9615 8254 8048,OnEnterprise Headquarter,5443905.53
NO78 3727 9345 738,OnEnterprise Main Branch,715914.5
SK30 5346 2572 9588 9833 4860,OnEnterprise Branch 1,500328.16
CZ86 6670 8686 9643 2273 8806,OnEnterprise Branch 2,3779016.08
RO25 YZJK 98V8 8PG1 4TRB QQR2,OnEnterprise Branch 3,1521183.62
AT97 4293 4318 4460 8040,OnEnterprise Branch 4,3283148.56
SA15 4479 PTV7 FXHD 536U 9LAE,OnEnterprise Headquarter,5207229.72
LU05 0648 AA8E PVTD WLUF,OnEnterprise Main Branch,6814322.14
MK37 885B GZDZ U0DL C42,OnEnterprise Branch 1,1833600.68
FR75 4098 0994 64I6 O16P WARI P85,OnEnterprise Branch 2,9327781.33
FR63 1505 7761 3661 L13L F5B2 F87,OnEnterprise Branch 3,2141704.93
FR86 0092 0528 35ZW YFIL JEEU O45,OnEnterprise Branch 4,7226566.49
